,Pais_comprador,Industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio
5,América Latina,Clasificación industrial,45896613.0,38633324.0,45975467.0,53570348.0,68987719.0,67712286.0,62664532.0,61169731.0,65778318.0,55917141.0,64315227.0,69759112.0,60741811.0,67878512.0,86736067.0,78431026.0,85315906.0,74525786.0,78987412.0,69610654.0,84805138.0,83407594.0,72413050.0,71162504.0,62533447.0,63100484.0,74079963.0,70299658.0,70629722.0,65889217.0,84491047.0,91821773.0,89766429.0,87197190.0,65416983.0,84916112.0,53598074.0,53025713.0,60661765.0,59177458.0,62506074.0,78800076.0,97166314.0,84962876.0,100004072.0,95922771.0,139991355.0,87775070.0,54799775.0,64336387.0,67376648.0,66067974.0,64721492.0,62187840.0,56909037.0,70439133.0,61382259.0,66314370.0,82929738.0,67462183.0,58684350.0,82012435.0,68434351.0,75396959.0,72829476.0,73533990.0,81094118.0,77776297.0,87914279.0,76759123.0,103662155.0,84844101.0,77972051.0,73224331.0,96394293.0,78636965.0,93416633.0,89466259.0,74035836.0,83872092.0,81443413.0,93139994.0,97259276.0,81228895.0,115187816.0,117868179.0,143596250.0,135957846.0,151733487.0,163336591.0,154715969.0,181977497.0,133744224.0,166612008.0,162992975.0,140089320.0,168832024.0,208385935.0,208664262.0,218091956.0,193001334.0,207332664.0,231851217.0,237236928.0,245921891.0,172371625.0,132085751.0,185859680.0,131994945.0,127103090.0,134474753.0,111192877.0,100091042.0,128423589.0,139995936.0,146596993.0,176060190.0,147170293.0,193610184.0,172745582.0,176088821.0,183259042.0,229064874.0,243892557.0,227408394.0,273481165.0,237809246.0,274938385.0,216141609.0,203924817.0,227788864.0,248103893.0,230930952.0,235581033.0,323806589.0,288894333.0,302331209.0,339869296.0,303886108.0,398783588.0,385299340.0,377956671.0,421820971.0,377736050.0,344029962.0,376824662.0,465613568.0,395421751.0,341660358.0,432227458.0,338438089.0,314073262.0,280100645.0,272258330.0,253385225.0,258286840.0,266245476.0,258310944.0,309384015.0,321213856.0,319818844.0,338225798.0,390223337.0,368850492.0,342066802.0,347369848.0,307734151.0,278650070.0,231547360.0,232045660.0,290537647.0,317818944.0,290591690.0,303806593.0,272907728.0,293669769.0,288020488.0,323478432.0,300883784.0,250837002.0,198895637.0,210383073.0,227505676.0,230304094.0,223821182.0,235425979.0,266869287.0,222550375.0,208125395.0,200559932.0,174573235.0,197785246.0,151847922.0,160434968.0,181419830.0,193739920.0,195571650.0,254922560.0,187029991.0,188828468.0,215443498.0,216247060.0,203229052.0,197332698.0,182270373.0,181505250.0,228905666.0,196665826.0,237055857.0,238602100.0,209476092.0
11,Asia,Clasificación industrial,48161098.0,46527716.0,43574249.0,44339540.0,38379635.0,54757262.0,47223323.0,48427115.0,56185669.0,47244823.0,48300005.0,56289057.0,59224824.0,35547259.0,49681782.0,42854996.0,59971020.0,37055553.0,42221554.0,36980952.0,45429461.0,60160328.0,41572135.0,44581594.0,143684499.0,152945423.0,105207604.0,56389029.0,56034120.0,48785921.0,60385020.0,40729738.0,51987361.0,44608865.0,53996030.0,63519885.0,38250993.0,20252158.0,28446062.0,19983354.0,13603723.0,21196021.0,16707435.0,9544880.0,15120052.0,11642633.0,7628277.0,19991150.0,40146640.0,35807298.0,47257478.0,39278720.0,47188316.0,50612143.0,89318193.0,98254241.0,87185056.0,63835922.0,64887837.0,55108245.0,56722286.0,66538950.0,62816263.0,61615189.0,64048162.0,70522549.0,53797744.0,62519954.0,52725922.0,54818020.0,118225695.0,118824127.0,103976135.0,88564987.0,117015439.0,81232616.0,110653298.0,103467756.0,203027784.0,122116153.0,108336013.0,167796814.0,186198878.0,109573031.0,123275293.0,110123968.0,121423106.0,125075160.0,162429483.0,156546048.0,149276469.0,147334279.0,138894289.0,134726911.0,116269768.0,116924516.0,128564955.0,121887324.0,131840993.0,127983050.0,108859884.0,73446688.0,58340997.0,65868042.0,82629749.0,95969302.0,50469318.0,62584855.0,59455422.0,43985450.0,72485263.0,58887449.0,55605644.0,63416190.0,53954353.0,56642175.0,71598156.0,84496212.0,92515406.0,100776404.0,86270629.0,132049386.0,129891116.0,130189037.0,126246181.0,72278524.0,64631011.0,66174988.0,89931418.0,123950601.0,130697117.0,93707356.0,91529989.0,77831630.0,84510932.0,68524740.0,112241228.0,76125296.0,83243658.0,84968885.0,83708764.0,84796689.0,81729850.0,165026152.0,199123727.0,189564818.0,214449837.0,240788356.0,223958967.0,235057858.0,347077724.0,266672228.0,229160343.0,225915121.0,265785657.0,173141960.0,191454702.0,194689144.0,216017315.0,234986909.0,194492196.0,262915884.0,256871589.0,331187236.0,240699396.0,242852169.0,252033776.0,232393826.0,213957660.0,192258154.0,181506812.0,226784845.0,209405123.0,203507464.0,250239451.0,294454735.0,232980751.0,255143275.0,256528545.0,269346544.0,276703471.0,248540103.0,292358283.0,259224960.0,174254508.0,228330570.0,258926219.0,234199972.0,213725434.0,198782754.0,210228519.0,176947308.0,183911551.0,180731653.0,150770179.0,186187177.0,184685825.0,137957950.0,169164517.0,201328922.0,155499058.0,204339117.0,176441273.0,181826086.0,176385484.0,165602543.0,336913488.0,196946314.0,206316011.0,195299549.0,249779397.0
17,Europa,Clasificación industrial,53107345.0,51994767.0,43633896.0,43886762.0,48327092.0,68399694.0,42459989.0,53276917.0,95120605.0,51478179.0,65573205.0,105214853.0,49496565.0,39233321.0,72047373.0,43080060.0,53360471.0,54010404.0,47406249.0,81848334.0,58439021.0,62315291.0,52295522.0,76216057.0,69109227.0,59756618.0,72405626.0,65403097.0,97517157.0,106165893.0,107744123.0,96250341.0,99857720.0,60489603.0,45527421.0,76965550.0,59676692.0,59084386.0,65263640.0,47718659.0,37836347.0,48506994.0,50936303.0,36902209.0,57171540.0,31726750.0,35016854.0,46196167.0,44932165.0,48295395.0,65622303.0,43583532.0,51987600.0,56332978.0,59251599.0,66970646.0,63837103.0,63487894.0,76188624.0,89069903.0,84394343.0,81718426.0,96713212.0,94606491.0,110176031.0,129986368.0,105372798.0,133241174.0,120379089.0,112813239.0,121516302.0,109250056.0,118963259.0,105492421.0,125078529.0,126698420.0,132428620.0,120617668.0,113921403.0,136614707.0,130859664.0,204586436.0,208442347.0,166140188.0,232560723.0,205499478.0,222240429.0,207766837.0,246001627.0,204396899.0,233753474.0,211181641.0,199668142.0,241900424.0,203610914.0,209486086.0,191140067.0,142170733.0,161262542.0,201016441.0,191987256.0,222452363.0,221561409.0,148359315.0,191755158.0,191701445.0,149386872.0,212293156.0,147752797.0,122315761.0,140627177.0,158379985.0,140718851.0,141309724.0,132335548.0,118281908.0,136611443.0,130192009.0,121748116.0,216327819.0,148147145.0,163532829.0,215495594.0,167131823.0,135322770.0,153497457.0,167237354.0,166990952.0,193047214.0,190992028.0,221862598.0,258841278.0,227669330.0,212305109.0,231478153.0,178725291.0,191700901.0,213410822.0,221717576.0,207111253.0,186581968.0,192210791.0,234577075.0,242731422.0,283398131.0,251544614.0,285233208.0,276763949.0,281874230.0,259828106.0,279617998.0,285395334.0,231567130.0,255131684.0,265000367.0,252988904.0,262775037.0,218598546.0,250450369.0,254500300.0,250529283.0,235391435.0,271062308.0,256049924.0,240011300.0,275923446.0,244384772.0,271713698.0,289438492.0,294069017.0,248947415.0,297156509.0,268750663.0,267598035.0,346066169.0,273564241.0,270673968.0,300841564.0,267689830.0,411322165.0,289423729.0,220042118.0,265185641.0,315275938.0,214369090.0,272473092.0,343337002.0,290382379.0,257220209.0,277854646.0,247496256.0,257764755.0,347003070.0,248593285.0,243042520.0,260534772.0,220113373.0,241544546.0,277154219.0,262114961.0,973313247.0,1183277182.0,1073711488.0,685571777.0,1026650759.0,902362841.0,786497541.0,952082562.0,1095939706.0,1023458819.0,909764917.0
23,Africa,Clasificación industrial,252362.0,326712.0,221965.0,424858.0,464044.0,428912.0,370084.0,476801.0,597309.0,372211.0,408439.0,451233.0,173157.0,270977.0,1340224.0,374661.0,240518.0,491994.0,146951.0,135381.0,564468.0,403326.0,441357.0,1145392.0,89646.0,421115.0,739266.0,168455.0,859349.0,330949.0,589561.0,168261.0,162377.0,152657.0,184531.0,200571.0,43697.0,198206.0,134539.0,70194.0,293180.0,171418.0,1138022.0,213196.0,205507.0,443439.0,130938.0,41059.0,247227.0,389080.0,393738.0,615293.0,477705.0,447497.0,758696.0,521370.0,740308.0,760242.0,388270.0,971269.0,664562.0,238296.0,386892.0,1111933.0,586421.0,833316.0,1573406.0,1455861.0,649317.0,402889.0,869292.0,721023.0,1093640.0,309461.0,532697.0,1281761.0,793864.0,956014.0,1588247.0,1336366.0,1088337.0,1157112.0,1011998.0,843133.0,868946.0,1129150.0,1803404.0,611302.0,696492.0,1051137.0,1403208.0,1912181.0,1682874.0,1956808.0,963450.0,2100429.0,1391851.0,3190295.0,10143030.0,16019456.0,13763818.0,3544481.0,16592703.0,17674682.0,17324315.0,2513279.0,994745.0,1241229.0,1183779.0,946502.0,1136371.0,1772190.0,2841473.0,1120537.0,693819.0,1175837.0,1761051.0,551005.0,1333358.0,1996229.0,5361347.0,856113.0,4911549.0,1583215.0,2699116.0,2815752.0,2726801.0,2119908.0,5626187.0,25871847.0,1429746.0,9983583.0,1499584.0,15108994.0,1990429.0,1609716.0,3341138.0,17820708.0,8241677.0,10348956.0,4280210.0,3099868.0,2069322.0,6828268.0,7120317.0,6018392.0,3327599.0,5943351.0,4869164.0,11608635.0,7449902.0,7637031.0,4773352.0,3001984.0,5219271.0,5237985.0,4169196.0,3076062.0,9946530.0,5407643.0,4339060.0,11111119.0,5187495.0,7204548.0,10397534.0,4050999.0,5821358.0,2876208.0,9610199.0,5484215.0,4457496.0,4311244.0,4159552.0,4835470.0,3964566.0,5943232.0,6816156.0,4227275.0,6435410.0,7282414.0,6994553.0,4360644.0,5898211.0,7553179.0,2192227.0,5662133.0,10819611.0,5233114.0,4886814.0,6731099.0,3336450.0,7450468.0,9067745.0,4215365.0,4193211.0,4957066.0,6446946.0,3377004.0,7183995.0,8436118.0,5912842.0,4180665.0,6045781.0,7316604.0,7149152.0,3560762.0,5157861.0,5441904.0,7796417.0,4883440.0,9147925.0
29,Oceanía,Clasificación industrial,1059517.0,3077718.0,2658377.0,3814400.0,3067664.0,2384095.0,1445213.0,2805609.0,2376201.0,2937552.0,1753294.0,2949783.0,1047722.0,1245143.0,2597171.0,1474621.0,1599977.0,2184437.0,1923923.0,1440728.0,2065047.0,1299919.0,1335719.0,3611461.0,930599.0,2078798.0,1545229.0,18745096.0,1875644.0,3727185.0,13589460.0,1671029.0,3359228.0,1535899.0,2562653.0,3265823.0,1140452.0,1937551.0,3316403.0,1654424.0,1062505.0,2946470.0,2246553.0,2154542.0,2110333.0,2685205.0,740229.0,1653533.0,1303625.0,1095563.0,2284257.0,997668.0,945754.0,2813618.0,1605637.0,2212903.0,2926636.0,3430735.0,3211396.0,2185583.0,2200849.0,4590569.0,2049391.0,2565491.0,2059309.0,2581266.0,1876021.0,2638457.0,3265909.0,2614119.0,2202203.0,5202271.0,1774595.0,1892777.0,2315104.0,1526621.0,3084521.0,4525328.0,2161315.0,2576359.0,2682699.0,4488507.0,3489719.0,5908340.0,6342974.0,4286433.0,5959744.0,5265732.0,5264758.0,5731243.0,6005214.0,5915754.0,5277297.0,7839766.0,6933584.0,8511156.0,7332556.0,5750979.0,5272442.0,6805349.0,5613083.0,7772807.0,6300177.0,6385558.0,5151167.0,4798490.0,8657212.0,7417044.0,7404285.0,6090371.0,6082688.0,5743317.0,5640349.0,5920756.0,4617347.0,6212378.0,6406814.0,3865667.0,5768904.0,7123068.0,7016587.0,3057911.0,5166400.0,5201712.0,3257031.0,4854310.0,6176484.0,5941209.0,11327105.0,14876667.0,7347766.0,11955578.0,10283775.0,8251946.0,8627379.0,10691195.0,12066663.0,14690274.0,11084421.0,3567439.0,10457160.0,8178252.0,4279223.0,8172508.0,16071730.0,17632447.0,16731133.0,14893043.0,16947026.0,19518509.0,25760851.0,22056527.0,24390717.0,14879306.0,22926495.0,28376327.0,19071379.0,15144378.0,23039240.0,18851927.0,16096434.0,24104606.0,19191061.0,22755661.0,13828614.0,15871698.0,8276083.0,8842572.0,7802538.0,8878271.0,9821764.0,9735698.0,10136255.0,9268460.0,10009795.0,9092126.0,10311160.0,10138083.0,8268933.0,11545432.0,5758606.0,5931718.0,5639352.0,10940326.0,7394689.0,24447743.0,22665914.0,10779252.0,14451397.0,18331162.0,11929348.0,18027731.0,14215467.0,7838782.0,17247076.0,6033654.0,9828388.0,15812348.0,8382434.0,10401297.0,13652432.0,11978575.0,11587941.0,7702615.0,19998333.0,14358066.0,12249036.0,17878858.0,15584862.0,34816539.0,16224009.0
35,América del Norte,Clasificación industrial,709543539.0,586337139.0,778421894.0,739453592.0,983967615.0,1028718541.0,1017743262.0,1268930555.0,1279982345.0,1274169372.0,1235540100.0,1177766467.0,1157058167.0,1112466470.0,1127008149.0,1064312034.0,1119390626.0,1214029173.0,1131960053.0,1099194165.0,1046357962.0,1244539823.0,1168708787.0,959053458.0,855488920.0,935674618.0,1043037240.0,1102484187.0,1101606426.0,1130561263.0,1186606811.0,1135961074.0,1211412989.0,1287322674.0,1178146977.0,1261978629.0,945027216.0,977920712.0,1015582796.0,1008770244.0,929776748.0,1017064142.0,1034121862.0,1033918254.0,1304466767.0,1207175824.0,977261582.0,1099509498.0,888638642.0,964776798.0,1287349294.0,1007424911.0,1105214141.0,1305356772.0,1019477312.0,1027322345.0,941234476.0,923516549.0,1076249684.0,948037402.0,817913789.0,1012393004.0,1164533992.0,989741254.0,1110342060.0,1039646472.0,1079180144.0,1223465830.0,1014969578.0,1055579951.0,1216316484.0,1073945785.0,1051376586.0,988365677.0,1150302409.0,1588016996.0,1218276459.0,1105638093.0,1021897538.0,1139801120.0,1161149109.0,1342962347.0,1229548730.0,1284574049.0,1493287206.0,1464977990.0,1551834944.0,1418201825.0,3007713722.0,1625758103.0,1739849993.0,1699496058.0,1642347370.0,1827664405.0,1642594315.0,1868732770.0,1939541415.0,1807348867.0,1978768820.0,2019587899.0,1634745071.0,1900309318.0,1921891577.0,1825588676.0,2066701583.0,1800037688.0,1703794104.0,1740128521.0,1409684353.0,1616180413.0,1701144534.0,1500445560.0,1537461656.0,1915193637.0,1550668204.0,1537429183.0,1823910033.0,1664893991.0,1883217552.0,2038442265.0,1677457593.0,1871336372.0,2057387628.0,1827713590.0,2009414278.0,2002173839.0,1894397543.0,2173760471.0,2043288354.0,2044874843.0,2138704230.0,2220708984.0,1991151681.0,2176374159.0,2519108216.0,2310921337.0,2550905577.0,2346281731.0,2199769522.0,2459148830.0,2453332852.0,2345175272.0,2393458251.0,2363466836.0,2271666897.0,2273156297.0,2633176735.0,2594561969.0,2537337565.0,2584693324.0,2448852837.0,2488361982.0,2413190553.0,2598512688.0,2422906594.0,2527034927.0,2253121440.0,2303050245.0,2347640253.0,2656983512.0,2673980327.0,2566667535.0,2690269272.0,2629314250.0,2538862060.0,2663885170.0,2532976554.0,2726758267.0,2336214843.0,2385261315.0,2773190717.0,2805849327.0,2677180118.0,2741728381.0,2847612753.0,2729978351.0,3359854445.0,3187310639.0,2660833698.0,3136397812.0,2576379694.0,2569934019.0,2887273749.0,3444090436.0,2813692966.0,2962705701.0,3129370219.0,2883043421.0,3044763387.0,3266452810.0,3065080634.0,3274415201.0,2820343960.0,3162935662.0,3343140492.0,3354675657.0,3266962901.0,3212135453.0,3094528639.0,3154792473.0,3175156079.0,2657343209.0,2694219730.0,2736471980.0,2476390936.0,2879757082.0,3013420240.0,2920335060.0,3207812716.0,2910802218.0,2754426402.0
41,Paises no declarados,Clasificación industrial,1791300.0,2239022.0,1350925.0,1500973.0,1655469.0,1711552.0,3738169.0,544241.0,1389849.0,2852632.0,1075573.0,2558061.0,4208088.0,756693.0,910619.0,393419.0,1898847.0,1498769.0,1902387.0,654229.0,3007555.0,1028971.0,14027660.0,1349864.0,707933.0,1030402.0,1707187.0,676552.0,1705792.0,1332893.0,1043492.0,490587.0,532451.0,1227928.0,1452462.0,1375259.0,1956055.0,921497.0,1366528.0,1223762.0,1897998.0,899446.0,506598.0,955032.0,724021.0,1536567.0,1318827.0,2251959.0,645817.0,402506.0,638122.0,786328.0,804081.0,258032.0,684709.0,386814.0,458300.0,268191.0,658101.0,708145.0,630869.0,471035.0,867401.0,341426.0,538675.0,640250.0,197562.0,359549.0,439866.0,572284.0,402084.0,499663.0,150902.0,414330.0,1246701.0,275866.0,324517.0,256770.0,127730.0,60577.0,36305.0,110190.0,231851.0,161413.0,89594.0,211745.0,500982.0,262736.0,410913.0,116892.0,13460.0,65264.0,169366.0,51980.0,117773.0,416003.0,191991.0,182973.0,375644.0,474934.0,187369.0,289065.0,432088.0,253119.0,106615.0,296534.0,206230.0,156347.0,159725.0,588600.0,219777.0,226304.0,65082.0,13893.0,31477.0,239405.0,140535.0,140267.0,133255.0,242506.0,157536.0,411108.0,498305.0,190956.0,299026.0,231798.0,214497.0,76271.0,78900.0,59441.0,76808.0,81528.0,314935.0,677851.0,835359.0,271765.0,205082.0,508505.0,141977.0,153368.0,146332.0,222567.0,270251.0,371151.0,501839.0,256574.0,184966.0,449920.0,573794.0,113806.0,137217.0,62446.0,248619.0,291757.0,298296.0,255680.0,403763.0,740531.0,524622.0,584145.0,339895.0,286325.0,234491.0,77092.0,520291.0,761805.0,575814.0,408537.0,548732.0,328415.0,495923.0,201409.0,347336.0,164915.0,71342.0,116515.0,346866.0,302344.0,326881.0,440622.0,246136.0,344552.0,433661.0,353775.0,162434.0,403831.0,110350.0,185452.0,202941.0,140752.0,80134.0,34837.0,54231.0,41372.0,52728.0,10190.0,19478.0,8525.0,38758.0,18894.0,68919.0,58104.0,53973.0,9160.0,25550.0,23592.0,22393.0,6410.0,37832.0,8357.0,9030.0
47,-,Clasificación industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4689.0,5764.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0
48,País comprador,País comprador,859811774.0,729136398.0,915836773.0,886990473.0,1144849238.0,1224112342.0,1175644572.0,1435630969.0,1501430296.0,1434971910.0,1416965843.0,1414988566.0,1331950334.0,1257398375.0,1340321385.0,1230920817.0,1321777365.0,1383796116.0,1304548529.0,1289864443.0,1240668652.0,1453155252.0,1350794230.0,1157120330.0,1132544271.0,1215007458.0,1298722115.0,1314166074.0,1330228210.0,1356793321.0,1454449514.0,1367092803.0,1457078555.0,1482534816.0,1347287057.0,1492221829.0,1099693179.0,1113340223.0,1174771733.0,1138598095.0,1046976575.0,1169584567.0,1202823087.0,1168650989.0,1479802292.0,1351133189.0,1162088062.0,1257418436.0,1030713891.0,1115103027.0,1470921840.0,1158754426.0,1271339089.0,1478008880.0,1228005183.0,1266107452.0,1157764138.0,1121613903.0,1304513650.0,1163542730.0,1021211048.0,1247962715.0,1395801502.0,1225378743.0,1360580134.0,1317744211.0,1323091793.0,1501457122.0,1280343960.0,1303559625.0,1563194215.0,1393287026.0,1355307168.0,1258263984.0,1492885172.0,1877669245.0,1558977912.0,1424927888.0,1416759853.0,1486377374.0,1485595540.0,1814241400.0,1726182799.0,1648429049.0,1971612552.0,1904096943.0,2047358859.0,1893141438.0,3574250482.0,2156936913.0,2285017787.0,2247882674.0,2121783562.0,2380752302.0,2133482779.0,2346260280.0,2436994859.0,2288917106.0,2496327733.0,2589979085.0,2148157815.0,2415147386.0,2456970168.0,2301366320.0,2609590478.0,2267688363.0,2045594232.0,2209680832.0,1757635306.0,1917210187.0,2056170563.0,1836647682.0,1842424097.0,2255398326.0,1882296684.0,1866577879.0,2216488222.0,2031309444.0,2298326775.0,2537653873.0,2100499658.0,2354502761.0,2642415466.0,2375902890.0,2504646796.0,2509332845.0,2373192936.0,2690002184.0,2559440787.0,2604550244.0,2727907129.0,2843382200.0,2553380246.0,2726130722.0,3170357057.0,2859638377.0,3172791798.0,3008706632.0,2828084939.0,3164082319.0,3123806626.0,3011640110.0,3138204943.0,3164332387.0,3121912603.0,3114997804.0,3618717046.0,3528822339.0,3407221104.0,3543047696.0,3447334618.0,3384258810.0,3183431359.0,3369990870.0,3235521905.0,3245322623.0,2997240993.0,2993609850.0,3157002344.0,3492528292.0,3459596039.0,3438702702.0,3633039553.0,3615439203.0,3386385997.0,3550715135.0,3351802508.0,3521643178.0,3089119824.0,3118325047.0,3508957774.0,3661857976.0,3460570737.0,3530909318.0,3730871804.0,3606818969.0,4169003834.0,4081441612.0,3500967081.0,4087171991.0,3354401826.0,3259536227.0,3684294573.0,4267742708.0,3435887096.0,3729449049.0,4032098602.0,3646373965.0,3743375577.0,3968853155.0,3712724576.0,3932425546.0,3526443946.0,3764791087.0,3939866036.0,4006138436.0,3883628561.0,3865758386.0,3743482553.0,3825921133.0,4539046075.0,4277423912.0,4165293927.0,3816236684.0,3888870587.0,4147170136.0,4383166225.0,4289356934.0,4770543401.0,4407871337.0,4148827772.0
